EST;LON;LAT;Orden
84;-72,24;-35,00;64
85;-72,33;-35,00;63
86;-72,43;-35,00;62
87;-72,60;-35,00;61
83;-72,40;-35,17;60
23;-72,40;-35,17;59
22;-72,55;-35,17;58
21;-72,70;-35,17;57
88;-72,51;-35,33;56
89;-72,59;-35,33;55
90;-72,69;-35,33;54
91;-73,00;-35,33;53
92;-72,65;-35,50;52
97;-72,65;-35,67;51
96;-72,73;-35,67;50
25;-72,75;-35,67;49
95;-72,84;-35,67;48
24;-72,90;-35,67;47
94;-73,04;-35,67;46
27;-73,05;-35,67;45
26;-73,19;-35,67;44
93;-73,21;-35,67;43
98;-72,70;-35,83;42
99;-72,81;-36,00;41
100;-72,90;-36,00;40
101;-73,00;-36,00;39
102;-73,20;-36,00;38
103;-73,40;-36,00;37
104;-72,86;-36,17;36
30;-72,90;-36,17;35
29;-73,13;-36,17;34
28;-73,36;-36,17;33
31;-73,58;-36,17;32
105;-72,88;-36,33;31
106;-72,97;-36,33;30
107;-73,07;-36,33;29
108;-73,28;-36,33;28
109;-73,50;-36,33;27
110;-72,99;-36,50;26
123;-73,16;-36,50;25
124;-73,29;-36,50;24
114;-73,17;-36,67;23
35;-73,20;-36,67;22
113;-73,26;-36,67;21
34;-73,33;-36,67;20
112;-73,37;-36,67;19
33;-73,46;-36,67;18
111;-73,63;-36,67;17
32;-73,63;-36,67;16
122;-73,22;-36,83;15
115;-73,34;-36,83;14
125;-73,49;-36,83;13
121;-73,21;-37,00;12
120;-73,34;-37,00;11
119;-73,46;-37,00;10
129;-73,59;-37,00;9
130;-73,68;-37,00;8
131;-73,82;-37,00;7
116;-73,23;-37,17;6
117;-73,35;-37,17;5
118;-73,47;-37,17;4
128;-73,68;-37,17;3
37;-73,69;-37,17;2
36;-73,82;-37,17;1
